nonblocking: 0.011767, num_procs: 1, N: 100
nonblocking: 0.010406, num_procs: 1, N: 100
nonblocking: 0.010050, num_procs: 1, N: 100
nonblocking: 0.009580, num_procs: 1, N: 100
nonblocking: 0.009011, num_procs: 1, N: 100
nonblocking: 0.008297, num_procs: 1, N: 100
nonblocking: 0.008333, num_procs: 1, N: 100
nonblocking: 0.007826, num_procs: 1, N: 100
nonblocking: 0.007973, num_procs: 1, N: 100
nonblocking: 0.007752, num_procs: 1, N: 100
fence: 0.007874, num_procs: 1, N: 100
fence: 0.007860, num_procs: 1, N: 100
fence: 0.007118, num_procs: 1, N: 100
fence: 0.007021, num_procs: 1, N: 100
fence: 0.006993, num_procs: 1, N: 100
fence: 0.006651, num_procs: 1, N: 100
fence: 0.006702, num_procs: 1, N: 100
fence: 0.006615, num_procs: 1, N: 100
fence: 0.006326, num_procs: 1, N: 100
fence: 0.006315, num_procs: 1, N: 100
pscw: 0.006496, num_procs: 1, N: 100
pscw: 0.005755, num_procs: 1, N: 100
pscw: 0.005729, num_procs: 1, N: 100
pscw: 0.005900, num_procs: 1, N: 100
pscw: 0.005907, num_procs: 1, N: 100
pscw: 0.006143, num_procs: 1, N: 100
pscw: 0.005968, num_procs: 1, N: 100
pscw: 0.005908, num_procs: 1, N: 100
pscw: 0.006250, num_procs: 1, N: 100
pscw: 0.005811, num_procs: 1, N: 100
nonblocking: 0.050955, num_procs: 1, N: 200
nonblocking: 0.046752, num_procs: 1, N: 200
nonblocking: 0.047436, num_procs: 1, N: 200
nonblocking: 0.044804, num_procs: 1, N: 200
nonblocking: 0.044425, num_procs: 1, N: 200
nonblocking: 0.044942, num_procs: 1, N: 200
nonblocking: 0.045038, num_procs: 1, N: 200
nonblocking: 0.045216, num_procs: 1, N: 200
nonblocking: 0.044496, num_procs: 1, N: 200
nonblocking: 0.045293, num_procs: 1, N: 200
fence: 0.045526, num_procs: 1, N: 200
fence: 0.045336, num_procs: 1, N: 200
fence: 0.045380, num_procs: 1, N: 200
fence: 0.045295, num_procs: 1, N: 200
fence: 0.048802, num_procs: 1, N: 200
fence: 0.042941, num_procs: 1, N: 200
fence: 0.043169, num_procs: 1, N: 200
fence: 0.048311, num_procs: 1, N: 200
fence: 0.046575, num_procs: 1, N: 200
fence: 0.045034, num_procs: 1, N: 200
pscw: 0.047050, num_procs: 1, N: 200
pscw: 0.047717, num_procs: 1, N: 200
pscw: 0.043622, num_procs: 1, N: 200
pscw: 0.046126, num_procs: 1, N: 200
pscw: 0.047901, num_procs: 1, N: 200
pscw: 0.045545, num_procs: 1, N: 200
pscw: 0.047121, num_procs: 1, N: 200
pscw: 0.048333, num_procs: 1, N: 200
pscw: 0.047609, num_procs: 1, N: 200
pscw: 0.046034, num_procs: 1, N: 200
nonblocking: 0.165678, num_procs: 1, N: 300
nonblocking: 0.162378, num_procs: 1, N: 300
nonblocking: 0.164278, num_procs: 1, N: 300
nonblocking: 0.165748, num_procs: 1, N: 300
nonblocking: 0.182406, num_procs: 1, N: 300
nonblocking: 0.160105, num_procs: 1, N: 300
nonblocking: 0.159070, num_procs: 1, N: 300
nonblocking: 0.159681, num_procs: 1, N: 300
nonblocking: 0.159174, num_procs: 1, N: 300
nonblocking: 0.158652, num_procs: 1, N: 300
fence: 0.158658, num_procs: 1, N: 300
fence: 0.156673, num_procs: 1, N: 300
fence: 0.158061, num_procs: 1, N: 300
fence: 0.158335, num_procs: 1, N: 300
fence: 0.157888, num_procs: 1, N: 300
fence: 0.158184, num_procs: 1, N: 300
fence: 0.158087, num_procs: 1, N: 300
fence: 0.158320, num_procs: 1, N: 300
fence: 0.158933, num_procs: 1, N: 300
fence: 0.158532, num_procs: 1, N: 300
pscw: 0.157897, num_procs: 1, N: 300
pscw: 0.158001, num_procs: 1, N: 300
pscw: 0.161657, num_procs: 1, N: 300
pscw: 0.163057, num_procs: 1, N: 300
pscw: 0.158871, num_procs: 1, N: 300
pscw: 0.152136, num_procs: 1, N: 300
pscw: 0.151183, num_procs: 1, N: 300
pscw: 0.151263, num_procs: 1, N: 300
pscw: 0.151421, num_procs: 1, N: 300
pscw: 0.151190, num_procs: 1, N: 300
nonblocking: 0.381679, num_procs: 1, N: 400
nonblocking: 0.375868, num_procs: 1, N: 400
nonblocking: 0.376736, num_procs: 1, N: 400
nonblocking: 0.376401, num_procs: 1, N: 400
nonblocking: 0.375328, num_procs: 1, N: 400
nonblocking: 0.376001, num_procs: 1, N: 400
nonblocking: 0.376231, num_procs: 1, N: 400
nonblocking: 0.375827, num_procs: 1, N: 400
nonblocking: 0.375962, num_procs: 1, N: 400
nonblocking: 0.375543, num_procs: 1, N: 400
fence: 0.376165, num_procs: 1, N: 400
fence: 0.375479, num_procs: 1, N: 400
fence: 0.375043, num_procs: 1, N: 400
fence: 0.375435, num_procs: 1, N: 400
fence: 0.374859, num_procs: 1, N: 400
fence: 0.374970, num_procs: 1, N: 400
fence: 0.375530, num_procs: 1, N: 400
fence: 0.375739, num_procs: 1, N: 400
fence: 0.374837, num_procs: 1, N: 400
fence: 0.375134, num_procs: 1, N: 400
pscw: 0.374908, num_procs: 1, N: 400
pscw: 0.374865, num_procs: 1, N: 400
pscw: 0.376243, num_procs: 1, N: 400
pscw: 0.375837, num_procs: 1, N: 400
pscw: 0.375304, num_procs: 1, N: 400
pscw: 0.375109, num_procs: 1, N: 400
pscw: 0.375570, num_procs: 1, N: 400
pscw: 0.375345, num_procs: 1, N: 400
pscw: 0.375152, num_procs: 1, N: 400
pscw: 0.374990, num_procs: 1, N: 400
nonblocking: 0.000989, num_procs: 1, N: 50
nonblocking: 0.000932, num_procs: 1, N: 50
nonblocking: 0.000933, num_procs: 1, N: 50
nonblocking: 0.000935, num_procs: 1, N: 50
nonblocking: 0.000906, num_procs: 1, N: 50
nonblocking: 0.000847, num_procs: 1, N: 50
nonblocking: 0.000811, num_procs: 1, N: 50
nonblocking: 0.000815, num_procs: 1, N: 50
nonblocking: 0.000866, num_procs: 1, N: 50
nonblocking: 0.000816, num_procs: 1, N: 50
fence: 0.001509, num_procs: 1, N: 50
fence: 0.001219, num_procs: 1, N: 50
fence: 0.001058, num_procs: 1, N: 50
fence: 0.000945, num_procs: 1, N: 50
fence: 0.000953, num_procs: 1, N: 50
fence: 0.000996, num_procs: 1, N: 50
fence: 0.000942, num_procs: 1, N: 50
fence: 0.000940, num_procs: 1, N: 50
fence: 0.000931, num_procs: 1, N: 50
fence: 0.001372, num_procs: 1, N: 50
pscw: 0.001547, num_procs: 1, N: 50
pscw: 0.001703, num_procs: 1, N: 50
pscw: 0.001605, num_procs: 1, N: 50
pscw: 0.001623, num_procs: 1, N: 50
pscw: 0.001604, num_procs: 1, N: 50
pscw: 0.001653, num_procs: 1, N: 50
pscw: 0.001589, num_procs: 1, N: 50
pscw: 0.001673, num_procs: 1, N: 50
pscw: 0.001592, num_procs: 1, N: 50
pscw: 0.001415, num_procs: 1, N: 50
nonblocking: 0.027142, num_procs: 1, N: 150
nonblocking: 0.020806, num_procs: 1, N: 150
nonblocking: 0.020450, num_procs: 1, N: 150
nonblocking: 0.020523, num_procs: 1, N: 150
nonblocking: 0.018674, num_procs: 1, N: 150
nonblocking: 0.018417, num_procs: 1, N: 150
nonblocking: 0.018960, num_procs: 1, N: 150
nonblocking: 0.018950, num_procs: 1, N: 150
nonblocking: 0.019145, num_procs: 1, N: 150
nonblocking: 0.019026, num_procs: 1, N: 150
fence: 0.019276, num_procs: 1, N: 150
fence: 0.018879, num_procs: 1, N: 150
fence: 0.018993, num_procs: 1, N: 150
fence: 0.019595, num_procs: 1, N: 150
fence: 0.019409, num_procs: 1, N: 150
fence: 0.019514, num_procs: 1, N: 150
fence: 0.019503, num_procs: 1, N: 150
fence: 0.019500, num_procs: 1, N: 150
fence: 0.020759, num_procs: 1, N: 150
fence: 0.021488, num_procs: 1, N: 150
pscw: 0.018975, num_procs: 1, N: 150
pscw: 0.018360, num_procs: 1, N: 150
pscw: 0.018442, num_procs: 1, N: 150
pscw: 0.018389, num_procs: 1, N: 150
pscw: 0.019018, num_procs: 1, N: 150
pscw: 0.020866, num_procs: 1, N: 150
pscw: 0.021923, num_procs: 1, N: 150
pscw: 0.019206, num_procs: 1, N: 150
pscw: 0.020516, num_procs: 1, N: 150
pscw: 0.018762, num_procs: 1, N: 150
